Time,Amb,Obj,Temp,Humid,CO2,Elapsed,LightTop,LightFront
2023-12-06 18:24:23,21.73,22.19,22.8,29.55,898.23,2155926.0,273.33,103.33
2023-12-06 18:24:25,21.71,22.17,22.78,29.62,898.4,2157926.0,273.33,103.33
2023-12-06 18:24:27,21.77,22.11,22.78,29.59,897.86,2159926.0,273.33,103.33
2023-12-06 18:24:29,21.73,22.11,22.8,29.57,897.69,2161926.0,273.33,103.33
2023-12-06 18:24:31,21.73,22.09,22.83,29.61,898.13,2163926.0,273.33,103.33
2023-12-06 18:24:33,21.75,22.21,22.78,29.57,897.55,2165926.0,273.33,103.33
2023-12-06 18:24:35,21.73,22.15,22.84,29.53,897.73,2167926.0,273.33,103.33
2023-12-06 18:24:37,21.75,22.09,22.81,29.56,897.56,2169926.0,273.33,103.33
2023-12-06 18:24:39,21.73,22.13,22.83,29.47,898.16,2171926.0,273.33,103.33
2023-12-06 18:24:41,21.77,22.15,22.83,29.56,898.02,2173926.0,273.33,103.33
2023-12-06 18:24:43,21.75,22.21,22.81,29.56,898.13,2175926.0,273.33,103.33
2023-12-06 18:24:45,21.75,22.21,22.84,29.52,898.44,2177926.0,273.33,103.33
2023-12-06 18:24:47,21.75,22.17,22.84,29.53,898.55,2179926.0,273.33,103.33
2023-12-06 18:24:49,21.77,22.21,22.86,29.53,898.23,2181926.0,273.33,103.33
2023-12-06 18:24:51,21.75,22.27,22.86,29.59,898.72,2183926.0,246.67,80.0
2023-12-06 18:24:53,21.77,22.27,22.84,29.52,898.34,2185926.0,120.0,40.0
2023-12-06 18:24:55,21.77,22.33,22.89,29.51,897.86,2187926.0,80.0,46.67
2023-12-06 18:24:57,21.77,22.37,22.9,29.52,897.75,2189926.0,80.0,43.33
2023-12-06 18:24:59,21.77,22.71,22.91,29.48,899.17,2191926.0,80.0,40.0
2023-12-06 18:25:01,21.77,22.21,22.87,29.4,899.98,2193926.0,93.33,46.67
2023-12-06 18:25:03,21.75,22.39,22.9,29.46,901.33,2195926.0,103.33,50.0
2023-12-06 18:25:05,21.71,23.01,22.83,29.46,903.33,2197926.0,86.67,166.67
